player,team_id,team_name,match_date,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id
Debinha,6f666306,Current,03152025,99,br BRA,F,33-146,84,1,1,0,0,2,1,0,0,50,5,1,1,0.4,0.4,1.0,10,3,26,34,76.5,6,31,2,2,1,6f666306_99
Haley Hopkins,6f666306,Current,03152025,13,us USA,M,26-084,6,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,8,0,1,1,6f666306_13
Temwa Chaŵinga,6f666306,Current,03152025,6,mw MWI,F,26-176,90,1,0,0,0,2,2,0,0,43,1,2,0,0.6,0.6,0.4,5,0,25,29,86.2,6,30,2,2,1,6f666306_6
Michelle Cooper,6f666306,Current,03152025,17,us USA,F,22-101,66,1,0,0,0,3,2,0,0,44,5,0,1,0.3,0.3,0.0,4,1,17,30,56.7,3,22,0,1,1,6f666306_17
Nichelle Prince,6f666306,Current,03152025,8,ca CAN,F,30-024,24,0,0,0,0,2,0,0,0,19,0,0,2,0.2,0.2,0.0,0,0,6,9,66.7,0,12,0,1,0,6f666306_8
Vanessa DiBernardo,6f666306,Current,03152025,16,us USA,M,32-304,89,0,0,0,0,1,0,0,0,43,3,1,0,0.1,0.1,0.0,5,1,18,35,51.4,5,26,3,1,0,6f666306_16
Bayley Feist,6f666306,Current,03152025,22,us USA,F,28-001,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,1,1,6f666306_22
Claire Hutton,6f666306,Current,03152025,14,us USA,M,19-063,66,0,0,0,0,0,0,1,0,37,2,1,2,0.0,0.0,0.0,2,1,19,27,70.4,4,16,0,0,0,6f666306_14
Raquel Rodríguez,6f666306,Current,03152025,11,cr CRC,M,31-138,24,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.0,1,0,10,12,83.3,1,9,0,1,0,6f666306_11
Lo'eau LaBonta,6f666306,Current,03152025,10,us USA,M,31-362,90,0,0,0,0,1,0,0,0,51,3,2,0,0.1,0.1,0.0,0,0,28,38,73.7,11,22,1,1,0,6f666306_10
Ellie Wheeler,6f666306,Current,03152025,5,us USA,D,23-091,90,0,0,0,0,2,1,0,0,34,1,0,0,0.1,0.1,0.0,1,0,17,25,68.0,2,14,1,1,0,6f666306_5
Kayla Sharples,6f666306,Current,03152025,27,us USA,D,27-271,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,30,37,81.1,1,30,0,0,0,6f666306_27
Alana Cook,6f666306,Current,03152025,15,us USA,D,27-338,90,0,0,0,0,1,0,0,0,61,0,2,0,0.0,0.0,0.0,1,0,47,55,85.5,2,45,0,0,0,6f666306_15
Elizabeth Ball,6f666306,Current,03152025,7,us USA,D,29-146,45,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.0,0,0,28,35,80.0,1,19,0,1,0,6f666306_7
Isabel Rodriguez,6f666306,Current,03152025,18,us USA,D,25-336,45,0,0,0,0,0,0,0,0,38,0,1,3,0.0,0.0,0.0,0,0,19,31,61.3,1,14,0,0,0,6f666306_18
